algorithm,gamma,tol,outer_iterations,sweeps,break_delta,V_s0,V_s1,V_s2,V_s3,V_s4,V_s5,V_s6,V_s7,V_s8,V_s9,V_s10,V_s11,V_s12,V_s13,V_s14,V_s15,V_s16,V_s17,V_s18,V_s19
Policy Iteration,0.5,0.1,3,12,0.0,-1.125,-5.0,1.5,1.5,-1.5625,-0.25,5.0,5.0,-1.125,-1.125,1.5,1.5,-1.5625,-0.25,5.0,-3.5,-5.0,1.5,-2.75,-5.0
Value Iteration,0.5,0.1,,4,0.0,-1.125,-5.0,1.5,1.5,-1.5625,-0.25,5.0,5.0,-1.125,-1.125,1.5,1.5,-1.5625,-0.25,5.0,-3.5,-5.0,1.5,-2.75,-5.0
Policy Iteration,0.5,0.01,3,12,0.0,-1.125,-5.0,1.5,1.5,-1.5625,-0.25,5.0,5.0,-1.125,-1.125,1.5,1.5,-1.5625,-0.25,5.0,-3.5,-5.0,1.5,-2.75,-5.0
Value Iteration,0.5,0.01,,4,0.0,-1.125,-5.0,1.5,1.5,-1.5625,-0.25,5.0,5.0,-1.125,-1.125,1.5,1.5,-1.5625,-0.25,5.0,-3.5,-5.0,1.5,-2.75,-5.0
Policy Iteration,0.5,0.001,3,12,0.0,-1.125,-5.0,1.5,1.5,-1.5625,-0.25,5.0,5.0,-1.125,-1.125,1.5,1.5,-1.5625,-0.25,5.0,-3.5,-5.0,1.5,-2.75,-5.0
Value Iteration,0.5,0.001,,4,0.0,-1.125,-5.0,1.5,1.5,-1.5625,-0.25,5.0,5.0,-1.125,-1.125,1.5,1.5,-1.5625,-0.25,5.0,-3.5,-5.0,1.5,-2.75,-5.0
Policy Iteration,0.5,0.0001,3,12,0.0,-1.125,-5.0,1.5,1.5,-1.5625,-0.25,5.0,5.0,-1.125,-1.125,1.5,1.5,-1.5625,-0.25,5.0,-3.5,-5.0,1.5,-2.75,-5.0
Value Iteration,0.5,0.0001,,4,0.0,-1.125,-5.0,1.5,1.5,-1.5625,-0.25,5.0,5.0,-1.125,-1.125,1.5,1.5,-1.5625,-0.25,5.0,-3.5,-5.0,1.5,-2.75,-5.0
Policy Iteration,0.9,0.1,3,11,0.0,0.935,-5.0,3.5,3.5,-0.15849999999999997,2.15,5.0,5.0,0.935,0.935,3.5,3.5,-0.15849999999999997,2.15,5.0,-5.5,-5.0,3.5,-5.0,-5.0
Value Iteration,0.9,0.1,,4,0.0,0.935,-5.0,3.5,3.5,-0.15849999999999997,2.15,5.0,5.0,0.935,0.935,3.5,3.5,-0.15849999999999997,2.15,5.0,-5.5,-5.0,3.5,-5.0,-5.0
Policy Iteration,0.9,0.01,3,11,0.0,0.935,-5.0,3.5,3.5,-0.15849999999999997,2.15,5.0,5.0,0.935,0.935,3.5,3.5,-0.15849999999999997,2.15,5.0,-5.5,-5.0,3.5,-5.0,-5.0
Value Iteration,0.9,0.01,,4,0.0,0.935,-5.0,3.5,3.5,-0.15849999999999997,2.15,5.0,5.0,0.935,0.935,3.5,3.5,-0.15849999999999997,2.15,5.0,-5.5,-5.0,3.5,-5.0,-5.0
Policy Iteration,0.9,0.001,3,11,0.0,0.935,-5.0,3.5,3.5,-0.15849999999999997,2.15,5.0,5.0,0.935,0.935,3.5,3.5,-0.15849999999999997,2.15,5.0,-5.5,-5.0,3.5,-5.0,-5.0
Value Iteration,0.9,0.001,,4,0.0,0.935,-5.0,3.5,3.5,-0.15849999999999997,2.15,5.0,5.0,0.935,0.935,3.5,3.5,-0.15849999999999997,2.15,5.0,-5.5,-5.0,3.5,-5.0,-5.0
Policy Iteration,0.9,0.0001,3,11,0.0,0.935,-5.0,3.5,3.5,-0.15849999999999997,2.15,5.0,5.0,0.935,0.935,3.5,3.5,-0.15849999999999997,2.15,5.0,-5.5,-5.0,3.5,-5.0,-5.0
Value Iteration,0.9,0.0001,,4,0.0,0.935,-5.0,3.5,3.5,-0.15849999999999997,2.15,5.0,5.0,0.935,0.935,3.5,3.5,-0.15849999999999997,2.15,5.0,-5.5,-5.0,3.5,-5.0,-5.0
Policy Iteration,0.99,0.1,3,11,0.0,1.8813950000000004,-5.0,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,5.0,1.8813950000000004,1.8813950000000004,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,-5.95,-5.0,3.95,-5.0,-5.0
Value Iteration,0.99,0.1,,4,0.0,1.8813950000000004,-5.0,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,5.0,1.8813950000000004,1.8813950000000004,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,-5.95,-5.0,3.95,-5.0,-5.0
Policy Iteration,0.99,0.01,3,11,0.0,1.8813950000000004,-5.0,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,5.0,1.8813950000000004,1.8813950000000004,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,-5.95,-5.0,3.95,-5.0,-5.0
Value Iteration,0.99,0.01,,4,0.0,1.8813950000000004,-5.0,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,5.0,1.8813950000000004,1.8813950000000004,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,-5.95,-5.0,3.95,-5.0,-5.0
Policy Iteration,0.99,0.001,3,11,0.0,1.8813950000000004,-5.0,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,5.0,1.8813950000000004,1.8813950000000004,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,-5.95,-5.0,3.95,-5.0,-5.0
Value Iteration,0.99,0.001,,4,0.0,1.8813950000000004,-5.0,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,5.0,1.8813950000000004,1.8813950000000004,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,-5.95,-5.0,3.95,-5.0,-5.0
Policy Iteration,0.99,0.0001,3,11,0.0,1.8813950000000004,-5.0,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,5.0,1.8813950000000004,1.8813950000000004,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,-5.95,-5.0,3.95,-5.0,-5.0
Value Iteration,0.99,0.0001,,4,0.0,1.8813950000000004,-5.0,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,5.0,1.8813950000000004,1.8813950000000004,3.95,3.95,0.8625810500000004,2.9105000000000003,5.0,-5.95,-5.0,3.95,-5.0,-5.0
